count	reward_sum	squared_reward_sum	length
154	-79.29756411816925	10006.734751518783	152
155	-79.9188122889027	10005.5109521685	156
156	-109.2058843318373	10001.708361352217	84
157	-57.94265760667622	10011.001255167546	224
158	-62.897312112152576	10010.906534688284	220
159	-10.765227406285703	10022.775709488265	442
160	-89.23565408028662	10003.06358892378	120
161	-89.52825078368187	10003.611410026757	134
162	-64.09988724114373	10010.471555363174	250
163	-47.57660703919828	10013.303422538456	301
164	-58.12785574840382	10010.92357872743	227
165	-61.05114564159885	10010.997784141458	216
166	-36.93904764391482	10016.192231448209	345
167	-98.94772216118872	10001.371204283427	93
168	-90.77789568994194	10001.983425626475	93
169	-61.95293526817113	10009.698851513283	206
170	-93.78841693326831	10001.72411251617	110
171	-98.98833189951256	10000.484245254644	65
172	-73.86929376423359	10007.875677547854	156
173	-89.1810074232053	10003.34040005144	100
174	-41.96473321411759	10015.011961596634	335
175	-25.186273235827684	10018.563983357306	381
176	-71.80707266926765	10007.993536480475	191
177	-76.06571635743603	10006.891100850822	152
178	-58.42564104311168	10011.156390763741	222
179	-90.81011750362813	10003.664609285037	111
180	-40.48123174579814	10014.435047260415	317
181	-73.5298997242935	10008.300235504366	225
182	24.084697157144547	10034.039371603047	598
183	-67.29213137412444	10011.051890945066	228
184	-80.59526779456064	10005.43201919867	197
185	-88.20484101120383	10005.059684903445	169
186	-68.03318727295846	10011.198053329521	256
187	-60.40951408352703	10010.708609678062	217
188	-35.31441443320364	10017.169075422804	359
189	-58.490533898584545	10010.636400773556	236
190	-58.356469456106424	10010.276666334581	252
191	-50.20774560980499	10013.216932558827	249
192	-65.09824160579592	10009.77455113118	196
193	-59.79528113082051	10010.630806965253	240
194	4.0606138706207275	10025.7694227398	514
195	14.00393641460687	10030.02136479817	583
196	-20.44611570239067	10020.31570887607	394
197	46.89096578769386	10036.717831968386	705
198	72.24015601351857	10043.644217063022	861
199	-10.53079210780561	10024.37826355707	427
200	-31.868327604606748	10018.408297065862	342
201	-57.69624616438523	10012.091120343212	226
202	-58.04704183712602	10011.382305260015	236
203	-124.69248582050204	10007.196813472896	132
204	-119.36019940953702	10005.051542927027	129
205	-21.962005275301635	10021.126260914802	375
206	-76.22243366483599	10007.101389994086	152
207	-12.070903627667576	34.13406791120845	2000
208	-93.71314453985542	10003.160056857785	94
209	-97.98617583699524	10000.968270702748	72
210	0.6003477801568806	10027.852619347006	486
211	-96.75600096490234	10001.917692281693	122
212	-96.67773536359891	10001.775314893814	125
213	-93.66764741949737	10001.98029130583	141
214	-93.29053630982526	10001.806424705046	106
215	-48.25524834357202	10013.729174087957	278
216	80.60519084520638	10045.945266455075	907
217	32.29854302108288	10036.026282886754	597
218	209.433778969571	53.88634079328984	954
219	212.1058409512043	54.77707269522851	944
220	38.48206650838256	10036.311161122352	650
221	12.332144289277494	10036.660107987544	692
222	-60.32328192144632	10011.365195809878	223
223	205.36406266596168	55.98083088115963	990
224	-7.084160663653165	10026.444383831982	912
225	-42.55414363183081	10016.812885795165	297
226	-74.98947365023196	10008.822942847704	145
227	-79.70748849026859	10006.111066350008	135
228	-48.988354187458754	10014.921363516136	246
229	-24.209351865574718	10021.112554179581	354
230	-63.25995465554297	10010.87829549646	191
231	-70.8413493167609	10008.525986883233	165
232	7.438545428914949	10028.621654534301	492
233	-68.08627879060805	10008.699121624511	191
234	-30.778571797069162	10019.46478239968	330
235	-36.89150038547814	10017.084206059948	318
236	-66.33882883004844	10010.621659871798	174
237	-69.30905220005661	10008.196564734075	197
238	-87.3064684025012	10003.005734697668	112
239	3.819795148447156	10027.510113478604	506
240	-79.3736330838874	10006.000775869983	153
241	-80.74681620625779	10006.581866330815	178
242	-52.79080877546221	10012.562485686547	290
243	-11.51521615497768	10024.434549836322	395
244	-77.22381046786904	10005.989485884345	141
245	-63.118048299103975	10014.25734737489	373
246	-75.5534590864554	10006.130008675334	208
247	-80.72581259161234	10004.450439080654	141
248	-67.81300960131921	10032.829032786209	1542
249	-21.807134416885674	10021.376129788456	363
250	82.29233903251588	10048.872122125355	788
251	5.721013745293021	10028.488038923493	478
252	-12.301404751837254	10023.28302666001	421
253	35.80062839575112	10037.593350558587	590
254	-42.714422753080726	10016.067937347047	280
255	50.734559391625226	10041.019501721239	651
256	-23.968661272898316	10020.194588859411	367
257	-22.75449965056032	10021.020260536989	373
258	-47.09954192303121	10014.472804726547	280
259	-53.01269289525226	10012.187568585243	277
260	208.65231680497527	56.90068473255339	874
261	-68.90359194111079	10008.607008820347	174
262	48.7451949249953	10039.982595356454	653
263	26.387022589333355	10035.646436450983	540
264	-73.19436257239431	10007.34915724152	175
265	43.16508851572871	10038.497129626518	634
266	-94.88564788922668	10002.131689735246	109
267	69.76610364578664	10046.626156644808	725
268	30.628382047638297	10035.828466080975	580
269	207.7353448541835	55.51527639163557	896
270	49.32997862389311	10039.267702859866	710
271	-43.37468138709664	10015.098626663415	305
272	-49.46362649742514	10012.557420695031	281
273	-61.97950110398233	10010.422479286924	217
274	100.0069062341936	10056.040677023158	970
275	-0.3244034193921834	10027.451280438076	509
276	-86.08834893722087	10004.399240200995	171
277	106.13451088219881	10056.722477829022	870
278	-93.66351274587214	10003.748619466185	163
279	-3.256454517133534	10028.520706885598	489
280	-98.53583653084934	10002.6496590611	151
281	-86.35838709864765	10005.850791593177	176
